id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
32292,45848,Who Wants To Beat Up A Millionaire,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
32313,913,Tony Hawk's Pro Skater 2,NULL,2000-09-20 00:00:00.000,93,NULL,86.6667,1,85.3895,268
32487,38527,Dimahoo,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
32493,37530,Buffers Evolution,NULL,2000-01-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
32567,138362,Hoyle Casino,NULL,2000-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
32821,132040,StarFight VI - Gatekeepers,"Everyone makes mistakes, but not everyone is capable of making those that start wars. 
StarFight VI: Gatekeepers introduces you Simon Miller, a man who has this extrodinary capability.",2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
33147,43990,Evolution: Eternal Dungeons,NULL,2000-02-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33312,97183,beatmania CORE REMIX,NULL,2000-11-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33376,47612,Pachi-Slot Aruze Oukoku Pocket: Azteca,NULL,2000-03-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33633,9894,1nsane,NULL,2000-12-31 00:00:00.000,6,NULL,NULL,NULL,89.9632,10
34100,166384,Taisen Renai Simulation: Trifels Mahou Gakuen,NULL,2000-04-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34199,55140,Medarot 3 Kabuto Version,NULL,2000-07-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34290,1420,Kengo: Master of Bushido,"After defeating each rival school, the player must earn their place as the head of a school. Randomly, the player will have access to the Imperial Tournament, which is the final goal of the game. The tournament is fought with steel swords and start each match with full health. The player can still challenge other schools and victory earns their school's sword. Equipping different swords gives you a unique ""special move"". At this point in the game, the player will be randomly challenged by either the master or unique student of other schools and cannot decline. Losing such random encounters strips the character of that school's sword. Both the life and Ki bars can be hidden from battle, and the status of a wounded character is displayed during battle.",2000-12-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34310,76196,Ali Baba,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34401,71419,ESPN International Track & Field,NULL,2000-09-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34488,10562,Moto Racer World Tour,NULL,2000-12-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
35192,15863,Crimson Skies,"In 1937, Nathan Zachary and the Fortune Hunters were recovering from the foul betrayal of Lucas Miles in the skies over Cuba by hunting for the lost treasure of Sir Francis Drake. Locating Drake's Gold, the Fortune Hunters find evidence of British interest in Hawaii, and are set upon by the Medusas. While victorious, the Fortune Hunters are curious as to the reason for the British presence. Seizing a British Balmoral leads them to a secret British base, which they promptly destroy. Fighting off a counterattacks from HMS Barracuda, the Fortune Hunters are able to make repairs to the Pandora using the British facilities and recovered Drake's Gold, despite last-minute interference from the Royal Air Force. 
 
Rejoicing in their newfound wealth, the Fortune Hunters cancel their party when they receive a distress call from an old friend - Ilsa Fassenbiender, daughter of Doctor Wilhelm Fassenbiender, radios the Fortune Hunters with news that her father has been kidnapped by the Soviet secret police, while she herself is kept prisoner by Boeing Aviation in Pacifica. The Fortune Hunters launched an assault on the CCCP zeppelin Workers' Voyage to retrieve the doctor, which resulted in Nathan Zachary once again encountering his old flame, the Black Swan. Successful in their flying rescue, the Fortune Hunters attempt to repeat their success with a lightning raid on the Boeing plant, hoping to both rescue Ilsa and steal the prototype Hughes Bloodhawk, Blue Streak. Again successful, the Fortune Hunters are forced to strike agains the USSR once again - this time attacking a petrol tanker off the coast of Pacifica to refuel the Pandora. Returning to Pacifica, the Fortune Hunters attack a zeppelin belonging to Blake Aviation Security in a pre-emptive strike which is an unmigitigated success. 
 
Shortly after this victory, the Fortune Hunters found themselves battling a new enemy. The previously unknown pirate gang, the Black Hats, had shot down the Workers' Voyage, an act that might not have been possible had the Fortune Hunters not destroyed its escorts. Consumed with guilt, the Fortune Hunters descended upon the wreckage, driving off the Black Hats and ensuring the survival of the hospital ship sent in to rescue survivors. 
 
Flush with victory and with two of the most brilliant aircraft designers in the world in tow, the Fortune Hunters head south, for the Nation of Hollywood. Although their original intention was merely to rescue a movie starlet trapped by her contract, the Fortune Hunters followed another successful rescue with the theft of the world's largest airplane and participating in the first Johnson Cup Race, which Nathan Zachary won by a considerable margin. This victory, on Johnny Johnson's home turf, drove him to attempt a nefarious plan to destroy Zachary. When that failed, he used the delay caused by the race to send a Hughes Aviation combat zeppelin to destroy the Fortune Hunters' Pandora. While the assault resulted in the destruction of the Hughes Aviation zeppelin, the Pandora was badly damaged. Fleeing inland, the Fortune Hunters were forced to hijack the cargo zeppelin Figaro to provide the Pandora with a tow. 
 
Arriving in Sky Haven, the Fortune Hunters encountered Black Swan and her group. With both sides willing to let bygones be bygones, the party went late into the night. 
 
The next morning, however, Zachary awoke to find his crew missing, and his only ally the Black Swan, whose crew had also mysteriously disappeared. Hunting the area around Sky Haven, Zachary picked up a transmission from Sparks, the Pandora's pilot. He was aboard the Rocky Express. Zachary hastened to rescue his pilot, but the Express was attacked by Black Hats. The Express was escorted by Hellhounds from Sacred Trust Incorporated... who were expecting the Black Hats. Zachary and the Black Swan drove off both the pirates and the supposed security, disabled the Express' defences, and scooped up Sparks seconds before the Express' locomotive exploded. 
 
Convinced the Black Hats are responsible for the disappearance of their crews, Zachary and the Black Swan determine to hunt down a member of the Black Hats leadership... Ulysses Boothe. Finding Boothe, Zachary was able to shoot him down and capture him, and proposed to trade him back to the Hats in exchange for the return of the crews. Furious, but without options, Boothe agreed. Zachary dropped Boothe at the agreed-upon location, only to be told that the crews were being held inside a cargo zeppelin which had been wired with explosives. With consummate skill, Zachary was able to shoot free the zeppelin, board it, and release the crews. While the crews escaped, Black Swan herself was shot down and captured on the ground. 
 
Together, the Fortune Hunters and the Black Swans proceeded to decimate the Black Hats' operations in Sky Haven, culminating in the utter destruction of their mountaintop base, the theft of dozens of aerial torpedoes and the rescue of the Black Swan. 
 
Realising there had to be a secret alliance between the Black Hats and Sacred Trust, Zachary was forced to approach the one man who might be able to help them... Paladin Blake. While initially distrustful, Zachary was able to convince Blake of his sincerity and recruit him to assist the Fortune Hunters in their efforts to exterminate both the Black Hats and Sacred Trust. 
 
Heading for the Sacred Trust HQ in Manhattan, Zachary contacted an old friend of his, who lead him to an Sacred Trust warehouse crammed with illegal merchandise, which was being loaded onto a German freighter. Destroying the warehouse and the freighter, Zachary was able to draw official attention to the activities of Sacred Trust. 
 
However, the Fortune Hunters needed more evidence. Evidence such as that known by Waldo Carney, Sacred Trust's accountant, who was trying to flee the city. When his zeppelin was attacked by Black Hats, the Fortune Hunters were able to rescue him and transport him safely to police HQ. 
 
Convinced their secrets had been revealed, Sacred Trust attempted to flee the city, loading their remaining contraband and documents onto zeppelins. However, the Fortune Hunts and Blake Aviation Security were able to disable their zeppelins, as well as the stolen Spruce Goose, and prevent Sacred Trust from removing the vital evidence. 
 
Furious at these repeated defeats, the true master behind both the Black Hats and Sacred Trust revealed himself - Lucas Miles, the man who had betrayed the Fortune Hunters in Cuba. In his mighty zeppelin Dante, Miles attempted to flee, but his zeppelin and his fighters were no match for the combined force of the Fortune Hunters and Blake Aviation Security. The Dante was shot down, and Miles was killed. 
 
Victorious once again, the Fortune Hunters accepted a substantial reward from the government of the Empire State, and decided to take a tropical break to spend it. Sea Haven is always nice this time of the year...",2000-09-17 00:00:00.000,3,NULL,80.0000,1,75.2981,16
35364,94385,AmsterDoom,NULL,2000-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
